Registration Number;Room;Course;Days of the Week;Time;Instructor;Credits;Description;
V01107822;B3176;Principles of Computer and Information Security (INFO 544);Monday, Thursday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107822;B3158;Analysis of Design of Database Systems (INFO 610);Wednesday, Friday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107822;B2175;Information Systems Management (INFO 640);Wednesday, Tuesday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107822;B3115;Data Mining (INFO 614);Wednesday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107823;B2177;Information Systems Management (INFO 640);Monday, Friday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107823;B2166;Principles of Computer and Information Security (INFO 544);Friday, Wednesday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107823;B3176;Data Communications (INFO 520);Monday, Friday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107823;B2175;Data Mining (INFO 614);Wednesday, Thursday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107824;B1117;Analysis of Design of Database Systems (INFO 610);Wednesday, Tuesday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107824;B3176;Data Mining (INFO 614);Thursday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107824;B2177;Data Communications (INFO 520);Thursday, Monday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107824;B3115;Systems Development (INFO 530);Monday, Thursday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107825;B2157;Analysis of Design of Database Systems (INFO 610);Wednesday, Friday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107825;B2165;Data Communications (INFO 520);Wednesday, Tuesday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107825;B3158;Systems Development (INFO 530);Tuesday, Friday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107825;B2175;Data Mining (INFO 614);Thursday, Wednesday, Friday;Morning (10:00 am - 11:15 am);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107826;B3115;Information Systems Management (INFO 640);Wednesday, Friday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107826;B3158;Analysis of Design of Database Systems (INFO 610);Friday, Wednesday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107826;B2175;Principles of Computer and Information Security (INFO 544);Monday, Thursday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107826;B2175;Systems Development (INFO 530);Tuesday, Monday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107827;B3158;Data Mining (INFO 614);Monday, Friday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107827;B1117;Principles of Computer and Information Security (INFO 544);Wednesday, Friday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107827;B3176;Systems Development (INFO 530);Thursday, Monday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107827;B2155;Information Systems Management (INFO 640);Monday, Tuesday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107828;B3176;Data Mining (INFO 614);Thursday, Friday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107828;B3115;Analysis of Design of Database Systems (INFO 610);Friday, Tuesday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107828;B2175;Principles of Computer and Information Security (INFO 544);Tuesday, Monday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107828;B2157;Data Communications (INFO 520);Monday, Tuesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107829;B2155;Information Systems Management (INFO 640);Monday, Tuesday, Thursday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107829;B2177;Principles of Computer and Information Security (INFO 544);Thursday, Monday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107829;B2166;Analysis of Design of Database Systems (INFO 610);Tuesday, Wednesday, Monday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107829;B3158;Systems Development (INFO 530);Thursday, Monday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107830;B2157;Principles of Computer and Information Security (INFO 544);Wednesday, Thursday, Monday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107830;B2177;Analysis of Design of Database Systems (INFO 610);Wednesday, Thursday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107830;B3158;Systems Development (INFO 530);Wednesday, Friday, Monday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107830;B3115;Information Systems Management (INFO 640);Thursday, Friday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107831;B3176;Data Communications (INFO 520);Monday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107831;B2175;Systems Development (INFO 530);Tuesday, Wednesday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107831;B2177;Principles of Computer and Information Security (INFO 544);Monday, Thursday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107831;B1117;Information Systems Management (INFO 640);Tuesday, Friday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107832;B3158;Principles of Computer and Information Security (INFO 544);Wednesday, Thursday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107832;B1117;Data Mining (INFO 614);Monday, Wednesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107832;B2177;Information Systems Management (INFO 640);Friday, Tuesday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107832;B2166;Systems Development (INFO 530);Friday, Thursday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107833;B3158;Analysis of Design of Database Systems (INFO 610);Monday, Friday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107833;B3176;Principles of Computer and Information Security (INFO 544);Wednesday, Thursday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107833;B2155;Data Mining (INFO 614);Monday, Tuesday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107833;B2157;Information Systems Management (INFO 640);Tuesday, Wednesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107834;B2155;Information Systems Management (INFO 640);Monday, Wednesday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107834;B2157;Analysis of Design of Database Systems (INFO 610);Thursday, Tuesday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107834;B2165;Data Communications (INFO 520);Wednesday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107834;B1117;Systems Development (INFO 530);Friday, Wednesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107835;B2175;Information Systems Management (INFO 640);Thursday, Wednesday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107835;B2157;Principles of Computer and Information Security (INFO 544);Wednesday, Friday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107835;B2155;Data Communications (INFO 520);Tuesday, Monday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107835;B2177;Data Mining (INFO 614);Thursday, Friday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107836;B1117;Principles of Computer and Information Security (INFO 544);Thursday, Friday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107836;B2165;Information Systems Management (INFO 640);Wednesday, Tuesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107836;B2155;Data Communications (INFO 520);Monday, Thursday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107836;B2175;Analysis of Design of Database Systems (INFO 610);Friday, Tuesday, Thursday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107837;B2157;Analysis of Design of Database Systems (INFO 610);Tuesday, Wednesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107837;B2155;Data Mining (INFO 614);Tuesday, Thursday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107837;B3115;Systems Development (INFO 530);Friday, Monday, Thursday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107837;B2166;Data Communications (INFO 520);Friday, Wednesday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107838;B3115;Information Systems Management (INFO 640);Wednesday, Monday, Friday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107838;B2165;Systems Development (INFO 530);Thursday, Monday, Friday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107838;B2166;Data Communications (INFO 520);Wednesday, Tuesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107838;B2157;Data Mining (INFO 614);Thursday, Monday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107839;B3176;Information Systems Management (INFO 640);Monday, Wednesday, Thursday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107839;B2175;Principles of Computer and Information Security (INFO 544);Wednesday, Thursday, Monday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107839;B2165;Systems Development (INFO 530);Wednesday, Thursday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107839;B2155;Data Communications (INFO 520);Thursday, Tuesday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107840;B2177;Analysis of Design of Database Systems (INFO 610);Wednesday, Tuesday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107840;B2157;Systems Development (INFO 530);Wednesday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107840;B3115;Principles of Computer and Information Security (INFO 544);Friday, Tuesday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107840;B2165;Information Systems Management (INFO 640);Tuesday, Monday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107841;B2175;Systems Development (INFO 530);Tuesday, Friday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107841;B2155;Data Communications (INFO 520);Thursday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107841;B1117;Principles of Computer and Information Security (INFO 544);Tuesday, Friday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107841;B3115;Information Systems Management (INFO 640);Monday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107842;B1117;Data Mining (INFO 614);Tuesday, Friday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107842;B3176;Analysis of Design of Database Systems (INFO 610);Monday, Wednesday, Friday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107842;B2175;Systems Development (INFO 530);Tuesday, Wednesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107842;B2157;Data Communications (INFO 520);Thursday, Tuesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107843;B3176;Information Systems Management (INFO 640);Tuesday, Friday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107843;B2166;Data Mining (INFO 614);Friday, Wednesday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107843;B2155;Analysis of Design of Database Systems (INFO 610);Friday, Tuesday, Monday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107843;B1117;Principles of Computer and Information Security (INFO 544);Monday, Thursday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107844;B3176;Data Mining (INFO 614);Friday, Wednesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107844;B3158;Systems Development (INFO 530);Friday, Monday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107844;B3115;Information Systems Management (INFO 640);Monday, Tuesday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107844;B2157;Analysis of Design of Database Systems (INFO 610);Tuesday, Thursday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107845;B2155;Information Systems Management (INFO 640);Thursday, Monday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107845;B2166;Systems Development (INFO 530);Friday, Tuesday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107845;B2177;Data Communications (INFO 520);Friday, Tuesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107845;B3115;Analysis of Design of Database Systems (INFO 610);Tuesday, Monday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107846;B2155;Data Communications (INFO 520);Friday, Wednesday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107846;B3176;Principles of Computer and Information Security (INFO 544);Thursday, Tuesday, Monday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107846;B2175;Data Mining (INFO 614);Monday, Thursday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107846;B3158;Analysis of Design of Database Systems (INFO 610);Wednesday, Friday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107847;B3176;Information Systems Management (INFO 640);Wednesday, Thursday, Monday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107847;B2155;Systems Development (INFO 530);Tuesday, Wednesday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107847;B3115;Data Communications (INFO 520);Monday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107847;B2175;Principles of Computer and Information Security (INFO 544);Thursday, Wednesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107848;B3115;Principles of Computer and Information Security (INFO 544);Monday, Wednesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107848;B3176;Information Systems Management (INFO 640);Monday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
